partido;userid;username;location;texto;coordinates
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional o único comércio q cresce no governo do é a venda a preço vil do patrimônio do povo bra";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional querem vender a amazonia vai perder todos os seus governadores ano que vem nas urnas";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional o povo já entendeu isso , na eleição do amazonas de ontem o candidato do pmdb levou uma surra do partido do brizola o pdt";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional vender a amazonia e um retrocesso seus golpistas";
"PMDB_Nacional";860529640175226880;"Mercar";"Nova Iorque, USA";"nacional o pai deste ministro está envolvido em vários casos de roubalheira e pilantragem";
"PMDB_Nacional";860529640175226880;"Mercar";"Nova Iorque, USA";"nacional rossi esse partido tem vários ladrões pilantras";
"PMDB_Nacional";16691681;"Stelle";"SP BR";"nacional vendendo a amazônia pra cobrir o déficit de mordomia e roubalheira usurpadores presidente enfeite de bruxa";
"PMDB_Nacional";368414479;"CGBr Mundos Digitais";"Florianópolis, Brasil";"nacional ridícula narrativa acham que alguém ainda cai nessas";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional graças a este governo ladrão podre, nem parcelar as dívidas os brasileiros honestos estão podendo desgraçados";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional vão tomar no cu e vender suas vagabundas que desfrutam do dinheiro público enquanto crianças morrem nos hosp";
"PMDB_Nacional";31864044;"Marcio Kleber Torres";"Vila Velha";"nacional seu pilantra, seus dias estão contados com a justiça ladrão";
"PMDB_Nacional";900825421599703041;"Leonardo Uroz";"Belo Horizonte, Brasil";"nacional vergonha esse partido";
"PMDB_Nacional";1640633000;"Silana Disperati";"Rio Brilhante";"nacional suruba é suruba";
"PMDB_Nacional";830064555992694784;"Jbarros";"Belo Horizonte, Brasil";"nacional e o refis do simples nacional nao teremos, somente os grandes";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional precisa também de um sistema de proteção contra desastres administrativos de um governo mafioso";
"PMDB_Nacional";3580183701;"cledison novak";"Sapiranga Brasil";"nacional e so vcs que sao cegos";
"PMDB_Nacional";865241542382030850;"Osmar Avelino";"Rio de Janeiro, Brasil";"nacional parece que não";
"PMDB_Nacional";801932520342360065;"Val";"São Paulo, Brasil";"nacional na realidade ela mostra que o brasileiro está tentando sobreviver a um governo medíocre e corrupto";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis san";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis sanguessugas do meu";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional querem enganar quem;";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional lúcio funaroo vem ai,a única diferença do pmdb para pt ;o primeiro e mais generoso n";
"PMDB_Nacional";31864044;"Marcio Kleber Torres";"Vila Velha";"nacional do que adianta, se vocês estão querendo acabar com a ônia por meio de decreto";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional pmdb ou mdb ágora querendo fazer propaganda de bom menino espero que muitos parlamen";
"PMDB_Nacional";40493348;"Neusa Teixeira";"Brasil São Paulo";"nacional frase do dia melhor definição de fundo eleitoral fundo eleitoral é um dinheiro que será roubado d";
"PMDB_Nacional";62691593;"Thiago";"São Caetano do Sul, SP";"nacional conta a do papagaio agora";
"PMDB_Nacional";860529640175226880;"Mercar";"Nova Iorque, USA";"nacional e vai quanto pra quadrilha";
"PMDB_Nacional";379317306;"Alois Andrade";"Ouro Preto do Oeste, Rondônia";"nacional quê ridículo governo do pmdb kkk";
"PMDB_Nacional";795001869928120320;"Paulo De Cerqueira S";"Salvador, Brasil";"nacional verdades enviesadas como gostamos que nos enganem";
"PMDB_Nacional";75418286;"Vinicius";"Rio de Janeiro, Brasil";"nacional privatiza tudo";
"PMDB_Nacional";793840709518241792;"Menina de Oya";"Madureira";"nacional só trouxa para acreditar nessa firula,nada privatizado beneficia o povo, pelo contrário cambada de ratos";
"PMDB_Nacional";272167977;"IVO TORRES";"PRAIA DO CARIPI, BARCARENA";"nacional onde está o dinheiro prometido para os ribeirinhos atingidos pelo naufrágio do navio haidar na vila do conde";
"PMDB_Nacional";69667589;"Marcio Teixeira";"Cascavel Brasil";"nacional não é o que o acha aliás, nem eu";
"PMDB_Nacional";878291135155892224;"Ben Silva";"Porto Alegre, Brasil";"nacional que beleza , quanta grana pra propina não vai rolar nessa privatização, parabéns ao";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional mentiroso canalhas";
"PMDB_Nacional";702402689162997760;"Euclides";"Caruaru, Brasil";"nacional , milhões de desempregados e vocês com a cara de pau de dizer que estão trabalhando, o pmdb está";
"PMDB_Nacional";819239537977282560;"Luiz Daniel Blasius";"Porto Alegre, Brasil";"nacional haja óleo de peroba vocês não ficam nem vermelhos";
"PMDB_Nacional";3247066108;"Cássio Freire";"São Paulo, Brasil";"nacional eo aumento do combustível";
"PMDB_Nacional";710903932202180608;"SUSTENTABILIDADE";"Maranhão, Brasil";"nacional o pmdb, pt, psdb, pp e seus apoiadores precisam ser varridos da vida pública";
"PMDB_Nacional";710903932202180608;"SUSTENTABILIDADE";"Maranhão, Brasil";"nacional o governo do pmdb e seus apoiadores é um escárnio";
"PMDB_Nacional";114753257;"Manoel Neto";"Rio de Janeiro";"nacional hahahahahahahahaha agora conta uma com papagaio";
"PMDB_Nacional";3247061111;"Fernandos";"São Paulo, Brasil";"nacional privatizar pros compadres, faltou o asterisco";
"PMDB_Nacional";16691681;"Stelle";"SP BR";"nacional pmdbosta";
"PMDB_Nacional";894543942078910464;"André Julião";"Recife, Brasil";"nacional não acredito em papai noel";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional que mentiraaaaaaaa cabeludaaaaaaa";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional mas nunca teve, tem ou terão culhões para isto vagabundos podres";
"PMDB_Nacional";887171107077451777;"Eduardo";"Curitiba, Brasil";"nacional";
"PMDB_Nacional";210669639;"BISMARQUE AGUIAR";"aguas claras brasilia df";"nacional já era hora";
"PMDB_Nacional";887702249983672320;"Rogério";"São Paulo, Brasil";"nacional tão vendendo o brasil junto com a carcaça";
"PMDB_Nacional";1528591454;"O Padeiro Comunista";"Eritrea";"nacional vcs acham isso grande coisa mesmo";
"PMDB_Nacional";900127692166754305;"Rosemberg Brito";"Paraty, Brasil";"nacional partido vergonhoso tudo lacraia";
"PMDB_Nacional";115634363;"Robson";"Recife";"nacional a privatização trará números para o erário público, mas em compensação, perderá sua moeda de barganha";
"PMDB_Nacional";162891407;"ws cyber";"brasil";"nacional bando ladrao";
"PMDB_Nacional";1635614479;"José júnior";"Tocantins, Brasil";"nacional cadê até agora nada de empregos";
"PMDB_Nacional";32072434;"Fredd";"Niterói";"nacional correto";
"PMDB_Nacional";2188777545;"";"Rio de Janeiro, Brasil";"nacional mentirasó vejo o desemprego aumentando";
"PMDB_Nacional";2188777545;"";"Rio de Janeiro, Brasil";"nacional luxo humano são vocês";
"PMDB_Nacional";871069804135841793;"Rodrigo Cossich";"Castelo, Belo Horizonte";"nacional patrimônio vc tem gasolina ,energia elétrica de graça o que temos é arcar com um estado inchado c";
"PMDB_Nacional";871069804135841793;"Rodrigo Cossich";"Castelo, Belo Horizonte";"nacional e o que vai sepultar o partido a união de novo com o pt";
"PMDB_Nacional";235232087;"Washington Fonseca";"goiania goias brasil";"nacional há vai tomar no cu pmdb, você é o temer";
"PMDB_Nacional";698494784885936128;"Sivaldo Brito";"Gogó da ema";"nacional oh, se não fosse uma piada já ia pensar que era verdade kkkkkkkk, gozado";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional o único comércio q cresce no governo do é a venda a preço vil do patrimônio do povo bra";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional querem vender a amazonia vai perder todos os seus governadores ano que vem nas urnas";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional o povo já entendeu isso , na eleição do amazonas de ontem o candidato do pmdb levou uma surra do partido do brizola o pdt";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional vender a amazonia e um retrocesso seus golpistas";
"PMDB_Nacional";860529640175226880;"Mercar";"Nova Iorque, USA";"nacional o pai deste ministro está envolvido em vários casos de roubalheira e pilantragem";
"PMDB_Nacional";860529640175226880;"Mercar";"Nova Iorque, USA";"nacional rossi esse partido tem vários ladrões pilantras";
"PMDB_Nacional";16691681;"Stelle";"SP BR";"nacional vendendo a amazônia pra cobrir o déficit de mordomia e roubalheira usurpadores presidente enfeite de bruxa";
"PMDB_Nacional";368414479;"CGBr Mundos Digitais";"Florianópolis, Brasil";"nacional ridícula narrativa acham que alguém ainda cai nessas";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional graças a este governo ladrão podre, nem parcelar as dívidas os brasileiros honestos estão podendo desgraçados";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional vão tomar no cu e vender suas vagabundas que desfrutam do dinheiro público enquanto crianças morrem nos hosp";
"PMDB_Nacional";31864044;"Marcio Kleber Torres";"Vila Velha";"nacional seu pilantra, seus dias estão contados com a justiça ladrão";
"PMDB_Nacional";900825421599703041;"Leonardo Uroz";"Belo Horizonte, Brasil";"nacional vergonha esse partido";
"PMDB_Nacional";1640633000;"Silana Disperati";"Rio Brilhante";"nacional suruba é suruba";
"PMDB_Nacional";830064555992694784;"Jbarros";"Belo Horizonte, Brasil";"nacional e o refis do simples nacional nao teremos, somente os grandes";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional precisa também de um sistema de proteção contra desastres administrativos de um governo mafioso";
"PMDB_Nacional";3580183701;"cledison novak";"Sapiranga Brasil";"nacional e so vcs que sao cegos";
"PMDB_Nacional";865241542382030850;"Osmar Avelino";"Rio de Janeiro, Brasil";"nacional parece que não";
"PMDB_Nacional";801932520342360065;"Val";"São Paulo, Brasil";"nacional na realidade ela mostra que o brasileiro está tentando sobreviver a um governo medíocre e corrupto";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis san";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis sanguessugas do meu";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional querem enganar quem;";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional lúcio funaroo vem ai,a única diferença do pmdb para pt ;o primeiro e mais generoso n";
"PMDB_Nacional";31864044;"Marcio Kleber Torres";"Vila Velha";"nacional do que adianta, se vocês estão querendo acabar com a ônia por meio de decreto";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional pmdb ou mdb ágora querendo fazer propaganda de bom menino espero que muitos parlamen";
"PMDB_Nacional";40493348;"Neusa Teixeira";"Brasil São Paulo";"nacional frase do dia melhor definição de fundo eleitoral fundo eleitoral é um dinheiro que será roubado d";
"PMDB_Nacional";62691593;"Thiago";"São Caetano do Sul, SP";"nacional conta a do papagaio agora";
"PMDB_Nacional";860529640175226880;"Mercar";"Nova Iorque, USA";"nacional e vai quanto pra quadrilha";
"PMDB_Nacional";379317306;"Alois Andrade";"Ouro Preto do Oeste, Rondônia";"nacional quê ridículo governo do pmdb kkk";
"PMDB_Nacional";795001869928120320;"Paulo De Cerqueira S";"Salvador, Brasil";"nacional verdades enviesadas como gostamos que nos enganem";
"PMDB_Nacional";75418286;"Vinicius";"Rio de Janeiro, Brasil";"nacional privatiza tudo";
"PMDB_Nacional";793840709518241792;"Menina de Oya";"Madureira";"nacional só trouxa para acreditar nessa firula,nada privatizado beneficia o povo, pelo contrário cambada de ratos";
"PMDB_Nacional";272167977;"IVO TORRES";"PRAIA DO CARIPI, BARCARENA";"nacional onde está o dinheiro prometido para os ribeirinhos atingidos pelo naufrágio do navio haidar na vila do conde";
"PMDB_Nacional";69667589;"Marcio Teixeira";"Cascavel Brasil";"nacional não é o que o acha aliás, nem eu";
"PMDB_Nacional";878291135155892224;"Ben Silva";"Porto Alegre, Brasil";"nacional que beleza , quanta grana pra propina não vai rolar nessa privatização, parabéns ao";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional mentiroso canalhas";
"PMDB_Nacional";702402689162997760;"Euclides";"Caruaru, Brasil";"nacional , milhões de desempregados e vocês com a cara de pau de dizer que estão trabalhando, o pmdb está";
"PMDB_Nacional";819239537977282560;"Luiz Daniel Blasius";"Porto Alegre, Brasil";"nacional haja óleo de peroba vocês não ficam nem vermelhos";
"PMDB_Nacional";3247066108;"Cássio Freire";"São Paulo, Brasil";"nacional eo aumento do combustível";
"PMDB_Nacional";710903932202180608;"SUSTENTABILIDADE";"Maranhão, Brasil";"nacional o pmdb, pt, psdb, pp e seus apoiadores precisam ser varridos da vida pública";
"PMDB_Nacional";710903932202180608;"SUSTENTABILIDADE";"Maranhão, Brasil";"nacional o governo do pmdb e seus apoiadores é um escárnio";
"PMDB_Nacional";114753257;"Manoel Neto";"Rio de Janeiro";"nacional hahahahahahahahaha agora conta uma com papagaio";
"PMDB_Nacional";3247061111;"Fernandos";"São Paulo, Brasil";"nacional privatizar pros compadres, faltou o asterisco";
"PMDB_Nacional";16691681;"Stelle";"SP BR";"nacional pmdbosta";
"PMDB_Nacional";894543942078910464;"André Julião";"Recife, Brasil";"nacional não acredito em papai noel";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional que mentiraaaaaaaa cabeludaaaaaaa";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional mas nunca teve, tem ou terão culhões para isto vagabundos podres";
"PMDB_Nacional";887171107077451777;"Eduardo";"Curitiba, Brasil";"nacional";
"PMDB_Nacional";210669639;"BISMARQUE AGUIAR";"aguas claras brasilia df";"nacional já era hora";
"PMDB_Nacional";887702249983672320;"Rogério";"São Paulo, Brasil";"nacional tão vendendo o brasil junto com a carcaça";
"PMDB_Nacional";1528591454;"O Padeiro Comunista";"Eritrea";"nacional vcs acham isso grande coisa mesmo";
"PMDB_Nacional";900127692166754305;"Rosemberg Brito";"Paraty, Brasil";"nacional partido vergonhoso tudo lacraia";
"PMDB_Nacional";115634363;"Robson";"Recife";"nacional a privatização trará números para o erário público, mas em compensação, perderá sua moeda de barganha";
"PMDB_Nacional";162891407;"ws cyber";"brasil";"nacional bando ladrao";
"PMDB_Nacional";1635614479;"José júnior";"Tocantins, Brasil";"nacional cadê até agora nada de empregos";
"PMDB_Nacional";32072434;"Fredd";"Niterói";"nacional correto";
"PMDB_Nacional";2188777545;"";"Rio de Janeiro, Brasil";"nacional mentirasó vejo o desemprego aumentando";
"PMDB_Nacional";2188777545;"";"Rio de Janeiro, Brasil";"nacional luxo humano são vocês";
"PMDB_Nacional";871069804135841793;"Rodrigo Cossich";"Castelo, Belo Horizonte";"nacional patrimônio vc tem gasolina ,energia elétrica de graça o que temos é arcar com um estado inchado c";
"PMDB_Nacional";871069804135841793;"Rodrigo Cossich";"Castelo, Belo Horizonte";"nacional e o que vai sepultar o partido a união de novo com o pt";
"PMDB_Nacional";235232087;"Washington Fonseca";"goiania goias brasil";"nacional há vai tomar no cu pmdb, você é o temer";
"PMDB_Nacional";698494784885936128;"Sivaldo Brito";"Gogó da ema";"nacional oh, se não fosse uma piada já ia pensar que era verdade kkkkkkkk, gozado";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional o único comércio q cresce no governo do é a venda a preço vil do patrimônio do povo bra";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional querem vender a amazonia vai perder todos os seus governadores ano que vem nas urnas";
"PMDB_Nacional";889608519539982336;"Lula";"Vila da Prata, Manaus";"nacional o povo já entendeu isso , na eleição do amazonas de ontem o candidato do pmdb levou uma surra do partido do brizola o pdt";
